classifiers,auc,precision,recall,fmeasure,accuracy
DecisionTreeClassifier,0.731706287842488,0.7407498162215144,0.7242453282223287,0.732404603270745,0.7313305765020677
GaussianNB,0.7955989257326078,0.6682944474588534,0.8852419741255391,0.7616201174894361,0.7186815859888105
KNeighborsClassifier,0.8378723111355635,0.7621448212648946,0.7968375658840441,0.7791051768564067,0.7706154220384335
LogisticRegression,0.804089042415783,0.70875,0.8150455198850024,0.7581903276131045,0.7360739479445391
RandomForestClassifier,0.8817630870853069,0.7834645669291339,0.8581696214662194,0.819117310770638,0.8075893943079543
GradientBoostingClassifier,0.8816540102857705,0.7754147171416419,0.8735026353617633,0.8215412347904463,0.8073461444903917
